ダウンロードした時刻：2026/05/29 13:35:30

,,,舞鶴,舞鶴,舞鶴,舞鶴
年,月,日,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,,,現象なし情報,品質情報,均質番号
2025,1,1,0.0,0,8,1
2025,1,2,0.5,0,8,1
2025,1,3,2.5,0,8,1
2025,1,4,3.5,0,8,1
2025,1,5,0,1,8,1
2025,1,6,10.5,0,8,1
2025,1,7,0.0,0,8,1
2025,1,8,1.0,0,8,1
2025,1,9,0.0,0,8,1
2025,1,10,8.5,0,8,1
2025,1,11,5.5,0,8,1
2025,1,12,0,1,8,1
2025,1,13,0.5,0,8,1
2025,1,14,0.0,0,8,1
2025,1,15,9.0,0,8,1
2025,1,16,2.0,0,8,1
2025,1,17,4.0,0,8,1
2025,1,18,0,1,8,1
2025,1,19,0,1,8,1
2025,1,20,0.0,0,8,1
2025,1,21,10.5,0,8,1
2025,1,22,0.5,0,8,1
2025,1,23,0.0,0,8,1
2025,1,24,0.5,0,8,1
2025,1,25,6.5,0,8,1
2025,1,26,16.5,0,8,1
2025,1,27,0,1,8,1
2025,1,28,0.5,0,8,1
2025,1,29,0.0,0,8,1
2025,1,30,0.0,0,8,1
2025,1,31,2.5,0,8,1
2025,2,1,1.5,0,8,1
2025,2,2,0.5,0,8,1
2025,2,3,0.0,0,8,1
2025,2,4,3.0,0,8,1
2025,2,5,10.0,0,8,1
2025,2,6,1.0,0,8,1
2025,2,7,3.0,0,8,1
2025,2,8,15.0,0,8,1
2025,2,9,7.5,0,8,1
2025,2,10,0.0,0,8,1
2025,2,11,2.0,0,8,1
2025,2,12,0.0,0,8,1
2025,2,13,5.0,0,8,1
2025,2,14,0.0,0,8,1
2025,2,15,0.0,0,8,1
2025,2,16,1.0,0,8,1
2025,2,17,11.0,0,8,1
2025,2,18,14.0,0,8,1
2025,2,19,9.0,0,8,1
2025,2,20,5.0,0,8,1
2025,2,21,10.5,0,8,1
2025,2,22,8.0,0,8,1
2025,2,23,2.0,0,8,1
2025,2,24,9.0,0,8,1
2025,2,25,0.0,0,8,1
2025,2,26,0.0,0,8,1
2025,2,27,0,1,8,1
2025,2,28,0.0,0,8,1
2025,3,1,0.0,0,8,1
2025,3,2,3.5,0,8,1
2025,3,3,20.5,0,8,1
2025,3,4,17.5,0,8,1
2025,3,5,5.0,0,8,1
2025,3,6,6.0,0,8,1
2025,3,7,0.5,0,8,1
2025,3,8,0.0,0,8,1
2025,3,9,0.0,0,8,1
2025,3,10,0,1,8,1
2025,3,11,4.5,0,8,1
2025,3,12,0.0,0,8,1
2025,3,13,0,1,8,1
2025,3,14,0,1,8,1
2025,3,15,5.0,0,8,1
2025,3,16,25.5,0,8,1
2025,3,17,7.0,0,8,1
2025,3,18,9.0,0,8,1
2025,3,19,10.0,0,8,1
2025,3,20,0.0,0,8,1
2025,3,21,0,1,8,1
2025,3,22,0,1,8,1
2025,3,23,0,1,8,1
2025,3,24,0.5,0,8,1
2025,3,25,0,1,8,1
2025,3,26,0,1,8,1
2025,3,27,3.0,0,8,1
2025,3,28,21.0,0,8,1
2025,3,29,0.0,0,8,1
2025,3,30,0.0,0,8,1
2025,3,31,0,1,8,1
2025,4,1,0,1,8,1
2025,4,2,0.5,0,8,1
2025,4,3,0.5,0,8,1
2025,4,4,1.0,0,8,1
2025,4,5,0,1,8,1
2025,4,6,0.0,0,8,1
2025,4,7,0,1,8,1
2025,4,8,0.0,0,8,1
2025,4,9,0,1,8,1
2025,4,10,1.0,0,8,1
2025,4,11,0.0,0,8,1
2025,4,12,0,1,8,1
2025,4,13,25.0,0,8,1
2025,4,14,0.0,0,8,1
2025,4,15,3.0,0,8,1
2025,4,16,0,1,8,1
2025,4,17,0,1,8,1
2025,4,18,0,1,8,1
2025,4,19,0,1,8,1
2025,4,20,6.0,0,8,1
2025,4,21,0,1,8,1
2025,4,22,4.0,0,8,1
2025,4,23,2.0,0,8,1
2025,4,24,0.0,0,8,1
2025,4,25,0,1,8,1
2025,4,26,0,1,8,1
2025,4,27,0,1,8,1
2025,4,28,0.0,0,8,1
2025,4,29,0.0,0,8,1
2025,4,30,0,1,8,1
2025,5,1,0,1,8,1
2025,5,2,6.5,0,8,1
2025,5,3,0.0,0,8,1
2025,5,4,0.0,0,8,1
2025,5,5,0.0,0,8,1
2025,5,6,33.5,0,8,1
2025,5,7,0.0,0,8,1
2025,5,8,0,1,8,1
2025,5,9,9.0,0,8,1
2025,5,10,0.0,0,8,1
2025,5,11,2.5,0,8,1
2025,5,12,0.5,0,8,1
2025,5,13,0,1,8,1
2025,5,14,0,1,8,1
2025,5,15,0,1,8,1
2025,5,16,0.0,0,8,1
2025,5,17,7.5,0,8,1
2025,5,18,0.0,0,8,1
2025,5,19,0,1,8,1
2025,5,20,0,1,8,1
2025,5,21,0.0,0,8,1
2025,5,22,0.0,0,8,1
2025,5,23,0,1,8,1
2025,5,24,13.0,0,8,1
2025,5,25,5.0,0,8,1
2025,5,26,0,1,8,1
2025,5,27,0.0,0,8,1
2025,5,28,0,1,8,1
2025,5,29,0.0,0,8,1
2025,5,30,0.0,0,8,1
2025,5,31,0.5,0,8,1
2025,6,1,3.5,0,8,1
2025,6,2,0.0,0,8,1
2025,6,3,26.5,0,8,1
2025,6,4,0.0,0,8,1
2025,6,5,0,1,8,1
2025,6,6,0,1,8,1
2025,6,7,0,1,8,1
2025,6,8,0,1,8,1
2025,6,9,0.0,0,8,1
2025,6,10,24.0,0,8,1
2025,6,11,15.0,0,8,1
2025,6,12,0,1,8,1
2025,6,13,0,1,8,1
2025,6,14,6.0,0,8,1
2025,6,15,1.5,0,8,1
2025,6,16,0.0,0,8,1
2025,6,17,0,1,8,1
2025,6,18,0,1,8,1
2025,6,19,0,1,8,1
2025,6,20,0,1,8,1
2025,6,21,0,1,8,1
2025,6,22,4.5,0,8,1
2025,6,23,60.0,0,8,1
2025,6,24,8.5,0,8,1
2025,6,25,0.0,0,8,1
2025,6,26,42.0,0,8,1
2025,6,27,0,1,8,1
2025,6,28,0,1,8,1
2025,6,29,0,1,8,1
2025,6,30,0,1,8,1
2025,7,1,0,1,8,1
2025,7,2,0,1,8,1
2025,7,3,0.0,0,8,1
2025,7,4,0,1,8,1
2025,7,5,0,1,8,1
2025,7,6,0,1,8,1
2025,7,7,0,1,8,1
2025,7,8,0.0,0,8,1
2025,7,9,3.0,0,8,1
2025,7,10,0,1,8,1
2025,7,11,0.0,0,8,1
2025,7,12,0,1,8,1
2025,7,13,0,1,8,1
2025,7,14,2.5,0,8,1
2025,7,15,4.0,0,8,1
2025,7,16,0.0,0,8,1
2025,7,17,9.0,0,8,1
2025,7,18,0.5,0,8,1
2025,7,19,0,1,8,1
2025,7,20,0,1,8,1
2025,7,21,0,1,8,1
2025,7,22,0,1,8,1
2025,7,23,0,1,8,1
2025,7,24,0,1,8,1
2025,7,25,0,1,8,1
2025,7,26,0.0,0,8,1
2025,7,27,0,1,8,1
2025,7,28,0,1,8,1
2025,7,29,0,1,8,1
2025,7,30,0,1,8,1
2025,7,31,0,1,8,1
2025,8,1,0,1,8,1
2025,8,2,0,1,8,1
2025,8,3,0.0,0,8,1
2025,8,4,0.0,0,8,1
2025,8,5,29.0,0,8,1
2025,8,6,13.5,0,8,1
2025,8,7,28.0,0,8,1
2025,8,8,0.5,0,8,1
2025,8,9,0.0,0,8,1
2025,8,10,17.0,0,8,1
2025,8,11,18.0,0,8,1
2025,8,12,8.5,0,8,1
2025,8,13,0.0,0,8,1
2025,8,14,0,1,8,1
2025,8,15,0.0,0,8,1
2025,8,16,0,1,8,1
2025,8,17,0,1,8,1
2025,8,18,0,1,8,1
2025,8,19,0.0,0,8,1
2025,8,20,8.0,0,8,1
2025,8,21,0,1,8,1
2025,8,22,0,1,8,1
2025,8,23,0,1,8,1
2025,8,24,0,1,8,1
2025,8,25,0.0,0,8,1
2025,8,26,0,1,8,1
2025,8,27,58.5,0,8,1
2025,8,28,1.5,0,8,1
2025,8,29,0,1,8,1
2025,8,30,0,1,8,1
2025,8,31,0,1,8,1
2025,9,1,0,1,8,1
2025,9,2,7.0,0,8,1
2025,9,3,0,1,8,1
2025,9,4,1.0,0,8,1
2025,9,5,34.0,0,8,1
2025,9,6,0,1,8,1
2025,9,7,8.0,0,8,1
2025,9,8,0.0,0,8,1
2025,9,9,0.0,0,8,1
2025,9,10,8.0,0,8,1
2025,9,11,2.0,0,8,1
2025,9,12,66.5,0,8,1
2025,9,13,0.5,0,8,1
