date,Avg,Max,Min
1/1/2025,5.7,11.7,2.3
1/2/2025,6.2,11.3,2.8
1/3/2025,4.8,8.7,1.8
1/4/2025,3.3,6.6,1.2
1/5/2025,3.3,9.5,-0.8
1/6/2025,4.3,6.5,0.8
1/7/2025,4.3,9.5,0.8
1/8/2025,2.3,8.5,-0.3
1/9/2025,0.8,6,-1.3
1/10/2025,0.3,4.7,-2.2
1/11/2025,1.7,6.2,0
1/12/2025,2.8,8.8,-0.2
1/13/2025,2.9,8.3,-1
1/14/2025,4.9,10.6,-0.4
1/15/2025,3.3,6.9,0.5
1/16/2025,3,7.8,0.4
1/17/2025,3.6,5.7,1.8
1/18/2025,3.4,8.9,-0.7
1/19/2025,4.5,14.4,-1.6
1/20/2025,7.3,14.1,3.2
1/21/2025,6.5,11,2.2
1/22/2025,4.9,11.2,1
1/23/2025,6.3,13.2,0.2
1/24/2025,7,11.1,3.9
1/25/2025,6.3,9,3.1
1/26/2025,4.1,6.5,0.9
1/27/2025,5.2,11.1,0.4
1/28/2025,5.1,9.3,2.1
1/29/2025,3.7,8.6,-1.1
1/30/2025,3.3,6.4,1.4
1/31/2025,3,5.5,0.9
2/1/2025,4.9,9,1.1
2/2/2025,6.4,10.4,2.7
2/3/2025,5.9,12.6,2.3
2/4/2025,2,6.7,-0.5
2/5/2025,-1,4,-3.6
2/6/2025,-0.2,5.2,-4.3
2/7/2025,-0.1,4.7,-3.6
2/8/2025,0,3.4,-2.6
2/9/2025,0.4,3.3,-2.1
2/10/2025,0.7,6.1,-2.8
2/11/2025,1.9,6,-1.3
2/12/2025,2.6,8,-2.4
2/13/2025,4.4,7.4,1.1
2/14/2025,3.7,9.4,-0.1
2/15/2025,5.6,14.4,-1.6
2/16/2025,7.7,13,4.2
2/17/2025,3.4,8.1,0.4
2/18/2025,0.6,2.1,-1.4
2/19/2025,0.3,2.8,-1.8
2/20/2025,0.4,3.4,-2.8
2/21/2025,0.4,1.9,-1.1
2/22/2025,0.3,1.4,-1
2/23/2025,1.3,5.3,-1.4
2/24/2025,1.1,5.1,-0.6
2/25/2025,3.4,10,-0.6
2/26/2025,4.7,10.3,0
2/27/2025,5,12.9,-1.4
2/28/2025,7.5,13.7,2.8
3/1/2025,8.9,18.9,1.7
3/2/2025,10.9,13.8,8.8
3/3/2025,6.6,10.4,4.7
3/4/2025,5.1,5.8,3.6
3/5/2025,7.1,9.4,5.5
3/6/2025,6,8.1,3.6
3/7/2025,5.3,7.1,3.5
3/8/2025,4.7,8.3,0.1
3/9/2025,4.2,10.1,-1.3
3/10/2025,5.8,12.6,-0.7
3/11/2025,8.6,12.4,5.9
3/12/2025,12,18.9,6
3/13/2025,10.7,15.1,5.2
3/14/2025,8.2,14,2.3
3/15/2025,6.5,8.3,4.7
3/16/2025,6.3,8.4,4.7
3/17/2025,5,8.2,2.3
3/18/2025,4.7,12.5,0.5
3/19/2025,2.9,6.7,0.5
3/20/2025,5.2,11.8,0.5
3/21/2025,10.7,19,2.6
3/22/2025,14.4,23.4,7
3/23/2025,13.3,22,6.8
3/24/2025,12.9,22.9,7
3/25/2025,17.6,25.4,10.1
3/26/2025,14.1,19.2,8.7
3/27/2025,18.8,26,8.6
3/28/2025,11.5,18.6,7.7
3/29/2025,8,11.4,4.6
3/30/2025,4.6,7.8,2.6
3/31/2025,5.5,10.3,1.7
4/1/2025,5.8,10.2,-0.1
4/2/2025,9.3,13,6.2
4/3/2025,9.8,13.5,7.4
4/4/2025,8.7,11.9,4.8
4/5/2025,10.6,17.8,1.6
4/6/2025,14.1,20.9,9.2
4/7/2025,11.4,17.7,6.5
4/8/2025,12.8,22.1,4.2
4/9/2025,11.4,16.5,6.8
4/10/2025,15.2,22,8
4/11/2025,12.8,15.3,11.2
4/12/2025,13.4,18.5,11.1
4/13/2025,12,19.2,7.2
4/14/2025,11.5,19.6,6.3
4/15/2025,10,14.2,5.3
4/16/2025,11.5,19.5,3.3
4/17/2025,19,27,11.5
4/18/2025,21.1,28,15.9
4/19/2025,22.6,30.1,15.2
4/20/2025,18,25.6,12.7
4/21/2025,13.8,19.2,9.1
4/22/2025,18.1,26.2,8.8
4/23/2025,17,19.8,13
4/24/2025,13.5,17.3,10
4/25/2025,13.4,18.5,7.3
4/26/2025,12.3,20.1,4.8
